Train Name,Train Number,Year,Month,Food Item,Region,Quantity Sold,Total Sale
Shatabdi Express,12201,2022,3,Vada Pav,Shimla,35,3493.86
Suvidha Express,22119,2022,3,Falooda,Ahmedabad,52,3741.49
Tejas Express,22119,2021,6,Juice,Chennai,68,6765.58
Duronto Express,12595,2023,1,Chilled Water,Bangalore,60,3250.52
Shatabdi Express,12201,2022,1,Tea,Nagpur,24,5547.93
Tejas Express,82355,2022,5,Falooda,Bangalore,17,2853.57
Rajdhani Express,12595,2021,1,Tea,Kolkata,23,1765.16
Shatabdi Express,12909,2022,10,Lassi,Kolkata,16,4540.06
Rajdhani Express,12301,2022,8,Falooda,Bhubaneswar,27,2259.17
Humsafar Express,12201,2023,2,Jalebi,Kolkata,21,8814.79
Tejas Express,22119,2023,6,Hot Chocolate,Bhopal,11,3088.59
Duronto Express,12301,2023,10,Hot Chocolate,Raipur,59,5916.54
Suvidha Express,12001,2021,10,Ice Cream,Raipur,30,2701.91
Vande Bharat Express,12301,2022,5,Bhajji,Kochi,16,2649.72
Jan Shatabdi Express,82355,2021,10,Soup,Pune,100,3541.23
Sampark Kranti,12201,2022,12,Vada Pav,Guwahati,21,8982.09
Duronto Express,12051,2022,12,Aam Panna,Amritsar,93,3934.55
Tejas Express,12301,2022,4,Chilled Water,Bhopal,66,8071.41
Vande Bharat Express,12051,2023,1,Samosa,Amritsar,87,2065.23
Duronto Express,12001,2021,3,Ice Cream,Pune,83,629.75
Tejas Express,12595,2021,12,Chilled Water,Guwahati,32,7690.34
Garib Rath,12051,2022,4,Kachori,Chandigarh,39,5382.05
Garib Rath,12595,2021,2,Lassi,Bhubaneswar,67,5014.83
Rajdhani Express,22119,2023,12,Jhalmuri,Ahmedabad,61,2786.27
Duronto Express,12201,2021,2,Coconut Water,Amritsar,65,862.19
Garib Rath,12301,2022,2,Tea,Kolkata,19,4813.98
Tejas Express,22119,2023,11,Bhutta,Pune,28,8513.81
Rajdhani Express,22119,2023,1,Bhutta,Amritsar,28,1321.39
Tejas Express,22439,2022,10,Shikanji,Kolkata,96,9110.07
Rajdhani Express,12917,2021,2,Chai,Raipur,68,2810.56
Duronto Express,82355,2022,6,Soup,Chandigarh,53,5288.79
Vande Bharat Express,12595,2021,3,Momo,Mumbai,68,806.28
Suvidha Express,22439,2021,10,Tea,Kochi,93,4257.49
Shatabdi Express,12917,2023,5,Vada Pav,Raipur,13,1377.95
Vande Bharat Express,82355,2022,1,Pakora,Mumbai,74,627.87
Humsafar Express,12595,2023,8,Momo,Raipur,22,9469.95
Tejas Express,12201,2022,4,Soup,Bhopal,76,7193.81
Humsafar Express,82355,2022,9,Soup,Shimla,21,7087.57
Vande Bharat Express,12301,2023,4,Pakora,Mumbai,64,1037.69
Rajdhani Express,22119,2022,2,Lassi,Guwahati,70,9111.8
Shatabdi Express,12917,2022,3,Lemonade,Chennai,50,4685.08
Shatabdi Express,12917,2021,5,Kachori,Raipur,45,8369.98
Sampark Kranti,12917,2022,12,Soup,Guwahati,11,287.38
Shatabdi Express,12595,2022,10,Chai,Nagpur,31,3036.55
Suvidha Express,12301,2023,6,Momo,Bhopal,31,9753.81
Shatabdi Express,82355,2023,7,Shikanji,Amritsar,50,4284.35
Vande Bharat Express,22119,2022,4,Samosa,Amritsar,23,8718.52
Sampark Kranti,12301,2021,7,Coconut Water,Shimla,44,3323.32
Vande Bharat Express,22439,2021,10,Jalebi,Bhubaneswar,59,5222.78
Vande Bharat Express,12201,2023,3,Bhajji,Kolkata,18,8388.6
Jan Shatabdi Express,12051,2022,7,Vada Pav,Pune,68,5997.58
Sampark Kranti,12301,2022,4,Jhalmuri,Bhopal,65,7146.62
Vande Bharat Express,22439,2021,8,Momo,Mumbai,100,2368.78
Jan Shatabdi Express,22119,2021,9,Kachori,Bangalore,19,1666.65
Jan Shatabdi Express,12051,2021,7,Jalebi,Pune,34,2382.96
Sampark Kranti,12051,2023,8,Aam Panna,Shimla,54,4912.06
Humsafar Express,12301,2022,8,Sugarcane Juice,Bhopal,20,7875.99
Rajdhani Express,12917,2023,2,Aam Panna,Ahmedabad,18,3573.55
Suvidha Express,12909,2022,9,Bhajji,Bhopal,16,5602.87
Rajdhani Express,22119,2023,6,Pakora,Guwahati,80,7913.03
Shatabdi Express,12917,2022,11,Hot Chocolate,Bangalore,43,2464.49
Suvidha Express,22119,2021,4,Juice,Kochi,92,8665.41
Shatabdi Express,12909,2021,5,Jhalmuri,Guwahati,29,9340.24
Vande Bharat Express,12201,2021,10,Ice Cream,Bangalore,98,541.2
Tejas Express,12909,2023,5,Coconut Water,Bangalore,14,735.07
Sampark Kranti,12001,2021,7,Jhalmuri,Bhopal,64,1041.64
Suvidha Express,12301,2022,9,Falooda,Chandigarh,100,7643.08
Suvidha Express,12301,2023,7,Ice Cream,Shimla,98,1988.6
Vande Bharat Express,22439,2022,9,Sugarcane Juice,Shimla,24,7151.47
Humsafar Express,12917,2023,4,Hot Chocolate,Chennai,57,4413.71
Jan Shatabdi Express,22439,2022,10,Bhajji,Chandigarh,13,8215.69
Vande Bharat Express,12001,2022,10,Ice Cream,Bangalore,87,7949.06
Garib Rath,12909,2023,4,Lassi,Bhopal,90,9403.58
Jan Shatabdi Express,12301,2023,6,Bhutta,Chennai,30,2582.52
Sampark Kranti,12595,2021,8,Hot Chocolate,Amritsar,89,2372.69
Jan Shatabdi Express,12909,2021,9,Ice Cream,Kolkata,99,469.37
Humsafar Express,12909,2022,1,Jalebi,Ahmedabad,18,4116.66
Jan Shatabdi Express,12001,2022,1,Ice Cream,Mumbai,75,4584.92
Sampark Kranti,12201,2022,8,Jalebi,Amritsar,88,9450.28
Humsafar Express,22119,2023,11,Falooda,Pune,44,8163.04
Rajdhani Express,12001,2023,7,Kachori,Chennai,97,1771.58
Suvidha Express,22119,2021,9,Sugarcane Juice,Pune,60,7852.16
Suvidha Express,12301,2022,11,Shikanji,Kolkata,87,1882.35
Shatabdi Express,12001,2021,3,Jhalmuri,Kolkata,46,914.63
Rajdhani Express,22119,2023,10,Chilled Water,Raipur,15,8223.65
Rajdhani Express,22439,2023,12,Juice,Ahmedabad,91,9560.45
Jan Shatabdi Express,12001,2023,5,Pakora,Nagpur,95,1014.29
Suvidha Express,12301,2021,3,Bhajji,Kochi,91,8000.74
Sampark Kranti,12001,2023,5,Coffee,Ahmedabad,60,8436.67
Duronto Express,12301,2022,10,Lassi,Kochi,75,1309.2
Duronto Express,12001,2021,1,Lemonade,Nagpur,26,2892.62
Humsafar Express,22119,2023,11,Soup,Nagpur,74,7228.14
Suvidha Express,12201,2021,4,Juice,Ahmedabad,18,7941.11
Suvidha Express,82355,2021,6,Falooda,Raipur,22,3573.36
Duronto Express,22119,2023,2,Coffee,Kochi,67,1705.53
Suvidha Express,12917,2023,7,Chai,Chandigarh,39,6406.9
Jan Shatabdi Express,12051,2021,8,Aam Panna,Mumbai,40,6923.08
Garib Rath,12201,2021,1,Jhalmuri,Chandigarh,32,5013.7
Tejas Express,22439,2023,4,Bhutta,Raipur,72,1561.25
Rajdhani Express,12909,2022,11,Kachori,Raipur,37,8294.92
Shatabdi Express,22119,2021,4,Thukpa,Kochi,68,6377.27
Humsafar Express,12001,2021,5,Bhajji,Shimla,19,8532.46
Garib Rath,22119,2022,12,Jalebi,Guwahati,98,9146.64
Duronto Express,12595,2023,12,Lassi,Guwahati,99,7921.55
Rajdhani Express,12201,2023,4,Jhalmuri,Kolkata,35,9393.91
Suvidha Express,82355,2022,9,Sugarcane Juice,Guwahati,86,9351.56
Shatabdi Express,22439,2023,7,Vada Pav,Shimla,26,6127.75
Suvidha Express,12595,2023,2,Thukpa,Guwahati,49,7175.32
Sampark Kranti,12301,2021,1,Vada Pav,Mumbai,77,6898.43
Sampark Kranti,12595,2021,9,Shikanji,Nagpur,32,6145
Shatabdi Express,22119,2021,1,Tea,Bhubaneswar,44,352.39
Shatabdi Express,22439,2022,6,Thukpa,Kolkata,84,3591.96
Duronto Express,22119,2023,2,Lassi,Nagpur,85,1129.41
Shatabdi Express,12301,2023,4,Hot Chocolate,Kochi,18,3056.31
Jan Shatabdi Express,12909,2021,6,Coconut Water,Ahmedabad,88,826.07
Suvidha Express,22439,2021,5,Vada Pav,Kolkata,54,9022.1
Garib Rath,12909,2022,11,Vada Pav,Raipur,46,4510.48
Vande Bharat Express,12201,2023,6,Jalebi,Chennai,78,1988.86
Shatabdi Express,12201,2022,3,Bhajji,Kolkata,28,5795.04
Humsafar Express,12909,2023,5,Samosa,Bhubaneswar,84,2057.07
Sampark Kranti,12201,2022,2,Pakora,Bangalore,82,7909.45
Jan Shatabdi Express,22439,2021,7,Coffee,Nagpur,36,3110.79
Rajdhani Express,12001,2022,3,Coconut Water,Kochi,22,3197.24
Vande Bharat Express,12917,2022,1,Chilled Water,Shimla,66,8540.04
Garib Rath,12201,2021,8,Lemonade,Guwahati,69,5548.84
Vande Bharat Express,12201,2023,8,Jhalmuri,Bangalore,21,8707.05
Shatabdi Express,22119,2023,3,Coffee,Pune,18,4140.45
Duronto Express,12909,2021,7,Bhutta,Bhopal,86,3476.65
Sampark Kranti,12051,2022,9,Hot Chocolate,Chennai,93,5038.68
Sampark Kranti,82355,2022,8,Bhajji,Chandigarh,86,757.99
Rajdhani Express,12595,2022,3,Jhalmuri,Nagpur,36,1650.38
Duronto Express,12201,2023,2,Aam Panna,Chandigarh,99,2279.15
Suvidha Express,12595,2022,10,Coconut Water,Bhubaneswar,72,8027.24
Tejas Express,22439,2023,7,Lemonade,Kochi,38,7229.47
Jan Shatabdi Express,12051,2022,7,Sugarcane Juice,Chandigarh,31,2026.81
Sampark Kranti,82355,2021,9,Aam Panna,Kochi,82,2829.99
Humsafar Express,12909,2021,5,Ice Cream,Shimla,97,9255.34
Sampark Kranti,12917,2023,4,Thukpa,Pune,28,992
Vande Bharat Express,82355,2023,8,Pakora,Kochi,47,5435.76
Sampark Kranti,82355,2021,4,Vada Pav,Mumbai,48,5190.8
Sampark Kranti,12917,2021,4,Falooda,Mumbai,24,7151.58
Tejas Express,12001,2022,12,Soup,Chennai,63,2682.6
Tejas Express,12909,2021,12,Jhalmuri,Shimla,41,9164
Garib Rath,22119,2023,2,Hot Chocolate,Kochi,55,4118.26
Suvidha Express,12595,2021,1,Chai,Chennai,70,2916.35
Humsafar Express,12201,2023,4,Soup,Mumbai,61,3408.71
Sampark Kranti,82355,2023,7,Coconut Water,Chennai,43,3522.8
Sampark Kranti,22439,2022,12,Chilled Water,Chennai,82,2080.92
Jan Shatabdi Express,12917,2022,9,Pakora,Ahmedabad,44,9099.32
Tejas Express,12595,2022,9,Shikanji,Ahmedabad,79,1849.39
Humsafar Express,12051,2022,12,Jalebi,Kochi,46,8664.03
Rajdhani Express,12917,2021,10,Chai,Bangalore,87,4063.84
Garib Rath,12051,2022,1,Coconut Water,Chandigarh,70,2758.08
Suvidha Express,12909,2021,5,Tea,Chennai,58,2076.88
Duronto Express,82355,2022,7,Aam Panna,Amritsar,18,5020.77
Suvidha Express,22439,2022,7,Kachori,Bangalore,28,6608.22
Vande Bharat Express,12201,2023,10,Shikanji,Mumbai,96,8812.16
Sampark Kranti,12051,2021,6,Sugarcane Juice,Nagpur,37,6446.39
Garib Rath,12595,2023,11,Lemonade,Chandigarh,89,4821.71
Vande Bharat Express,12001,2022,10,Lemonade,Guwahati,35,488.31
Humsafar Express,12909,2021,4,Aam Panna,Shimla,47,8977.78
Duronto Express,12001,2022,3,Lemonade,Raipur,49,8852.09
Tejas Express,12909,2023,12,Lassi,Chandigarh,34,3811.53
Garib Rath,22119,2021,9,Bhajji,Chennai,78,445.56
Garib Rath,12595,2023,12,Kachori,Amritsar,80,7225.33
Sampark Kranti,12001,2022,10,Kachori,Kochi,32,7786.63
Shatabdi Express,22439,2022,4,Falooda,Kochi,98,5387.74
Garib Rath,82355,2022,8,Falooda,Chennai,74,4044.07
Jan Shatabdi Express,12917,2021,1,Tea,Chennai,31,8358.9
Duronto Express,12201,2023,7,Vada Pav,Bhopal,73,2019.2
Duronto Express,82355,2023,12,Hot Chocolate,Chandigarh,77,4397.17
Jan Shatabdi Express,82355,2022,6,Shikanji,Ahmedabad,67,401.78
Rajdhani Express,12909,2023,12,Jhalmuri,Ahmedabad,37,1744.81
Jan Shatabdi Express,22439,2021,1,Sugarcane Juice,Guwahati,87,9222.31
Jan Shatabdi Express,12909,2022,4,Thukpa,Amritsar,77,5730.58
Duronto Express,12301,2022,12,Juice,Raipur,84,7920.53
Suvidha Express,12051,2022,5,Falooda,Amritsar,13,4849.03
Duronto Express,12201,2021,11,Coconut Water,Bangalore,10,8201.94
Shatabdi Express,12051,2022,8,Juice,Guwahati,35,5353.9
Sampark Kranti,12917,2022,4,Lemonade,Pune,42,209.76
Vande Bharat Express,12301,2022,3,Momo,Nagpur,90,8826.38
Suvidha Express,12595,2022,2,Kachori,Nagpur,36,1596.14
Tejas Express,12917,2023,4,Coconut Water,Raipur,51,4503.02
Vande Bharat Express,12917,2022,11,Sugarcane Juice,Bhopal,78,4754.44
Sampark Kranti,22119,2021,10,Hot Chocolate,Kochi,80,620.77
Shatabdi Express,12201,2022,4,Coconut Water,Chandigarh,73,676.92
Shatabdi Express,12909,2022,10,Bhajji,Nagpur,34,7506.24
Tejas Express,22439,2023,5,Falooda,Bangalore,81,3058.15
Suvidha Express,12051,2022,7,Coffee,Chandigarh,13,4109.07
Rajdhani Express,12917,2023,9,Aam Panna,Chandigarh,21,5596.1
Jan Shatabdi Express,12051,2021,2,Jhalmuri,Ahmedabad,67,3760.21
Suvidha Express,12051,2023,5,Coconut Water,Kochi,20,7626.42
Rajdhani Express,12595,2022,11,Bhajji,Nagpur,68,8679.74
Shatabdi Express,12201,2021,10,Juice,Ahmedabad,45,740.91
Duronto Express,12201,2022,9,Momo,Kolkata,31,6282.33
Sampark Kranti,12001,2023,12,Coconut Water,Mumbai,74,3223.81
Tejas Express,82355,2021,3,Thukpa,Kolkata,59,5780.56
Sampark Kranti,12201,2021,1,Jalebi,Kolkata,13,4824.07
Humsafar Express,12051,2023,2,Pakora,Mumbai,81,3378
Humsafar Express,12909,2023,6,Chilled Water,Kolkata,98,1078.75
Suvidha Express,12051,2021,5,Tea,Nagpur,61,5551.13
Shatabdi Express,12909,2021,1,Lassi,Chandigarh,52,1251.8
Shatabdi Express,12001,2023,1,Soup,Shimla,55,1668.86
Jan Shatabdi Express,12909,2022,11,Aam Panna,Ahmedabad,13,9620.28
Jan Shatabdi Express,12201,2021,4,Pakora,Chennai,22,3214.61
Jan Shatabdi Express,12595,2023,12,Aam Panna,Raipur,47,5791.73
Duronto Express,12909,2022,4,Bhajji,Pune,54,2786.52
Vande Bharat Express,12051,2021,6,Kachori,Bhopal,34,8497.28
Garib Rath,22439,2021,6,Bhajji,Ahmedabad,76,2893.45
Vande Bharat Express,12201,2023,10,Ice Cream,Pune,64,3697.64
Sampark Kranti,22439,2022,6,Hot Chocolate,Pune,48,6022.28
Vande Bharat Express,12301,2021,1,Lassi,Bangalore,74,8540.38
Duronto Express,12301,2022,10,Kachori,Amritsar,84,8022.78
Sampark Kranti,12051,2022,9,Juice,Kochi,11,2705.94
Vande Bharat Express,12301,2021,11,Soup,Nagpur,78,8151.19
Duronto Express,82355,2022,7,Aam Panna,Pune,95,6915.63
Garib Rath,12001,2021,7,Jhalmuri,Raipur,71,9693.95
Vande Bharat Express,12201,2022,11,Coconut Water,Ahmedabad,55,9170.49
Duronto Express,22439,2021,7,Tea,Nagpur,86,5297.94
Jan Shatabdi Express,12051,2023,2,Bhutta,Pune,96,7384.73
Shatabdi Express,82355,2021,2,Chilled Water,Pune,40,5654.5
Jan Shatabdi Express,12051,2021,6,Juice,Guwahati,44,5893.38
Shatabdi Express,82355,2021,7,Chai,Mumbai,54,1143.1
Tejas Express,12301,2022,3,Coconut Water,Chennai,86,187.7
Tejas Express,12301,2023,4,Chilled Water,Bangalore,63,629.91
Tejas Express,12909,2022,12,Kachori,Chandigarh,80,9470.65
Garib Rath,22119,2022,3,Hot Chocolate,Chandigarh,78,1381.51
Jan Shatabdi Express,12051,2021,7,Pakora,Ahmedabad,38,593.37
Shatabdi Express,12909,2022,7,Vada Pav,Shimla,81,3146.65
Duronto Express,12201,2021,4,Vada Pav,Kolkata,17,5827.77
Sampark Kranti,12909,2023,7,Soup,Shimla,63,9295.75
Duronto Express,12917,2022,5,Kachori,Raipur,16,6903.04
Sampark Kranti,12301,2022,1,Tea,Mumbai,92,2826.19
Humsafar Express,12917,2022,10,Jalebi,Amritsar,32,9205.25
Duronto Express,12051,2021,4,Hot Chocolate,Kolkata,41,513
Vande Bharat Express,22439,2021,7,Coffee,Kolkata,71,9590.24
Vande Bharat Express,22439,2022,2,Soup,Bangalore,54,730.54
Suvidha Express,12201,2022,2,Pakora,Raipur,77,7422.47
Jan Shatabdi Express,12909,2023,1,Sugarcane Juice,Shimla,39,602.1
Sampark Kranti,22439,2023,2,Sugarcane Juice,Nagpur,48,9133.09
Sampark Kranti,82355,2023,10,Bhutta,Ahmedabad,14,1212.07
Jan Shatabdi Express,82355,2023,8,Chai,Amritsar,76,651.98
Garib Rath,12201,2023,11,Lemonade,Chandigarh,31,8725.95
Suvidha Express,12001,2021,8,Coffee,Kochi,37,1088.17
Garib Rath,12301,2023,8,Lemonade,Kolkata,31,7846.79
Garib Rath,12909,2023,1,Jalebi,Guwahati,95,7356.87
Garib Rath,12051,2022,1,Jalebi,Shimla,38,5930.75
Jan Shatabdi Express,12595,2021,12,Tea,Bangalore,52,3804.27
Garib Rath,12595,2023,10,Shikanji,Bhopal,51,8979.26
Vande Bharat Express,12595,2023,4,Shikanji,Ahmedabad,69,8550.92
Tejas Express,22439,2023,6,Lassi,Guwahati,86,4269.04
Humsafar Express,12001,2022,8,Momo,Raipur,80,2396.61
Sampark Kranti,12001,2022,2,Lemonade,Bhubaneswar,83,2789.79
Sampark Kranti,12909,2022,3,Momo,Kolkata,77,2286.87
Humsafar Express,12909,2023,6,Hot Chocolate,Bhubaneswar,68,5376.05
Jan Shatabdi Express,12001,2022,10,Chai,Pune,95,8526.44
Duronto Express,12201,2023,4,Juice,Bhubaneswar,93,7612.7
Jan Shatabdi Express,12909,2021,12,Sugarcane Juice,Bhubaneswar,93,7823.49
Sampark Kranti,12201,2023,2,Lassi,Nagpur,15,4481.21
Sampark Kranti,12917,2022,7,Ice Cream,Shimla,82,3269.86
Humsafar Express,82355,2021,4,Jhalmuri,Bangalore,37,7456.22
Garib Rath,12301,2023,8,Lemonade,Chennai,86,7802.19
Jan Shatabdi Express,12909,2021,8,Chai,Bhubaneswar,40,6859.4
Shatabdi Express,12001,2021,7,Coffee,Kochi,48,475.14
Humsafar Express,82355,2021,10,Pakora,Bangalore,59,5842.26
Vande Bharat Express,82355,2023,9,Coconut Water,Guwahati,87,3506.67
Sampark Kranti,22119,2022,4,Chai,Chandigarh,95,2054.59
Humsafar Express,12001,2023,7,Bhutta,Kochi,46,6850.18
Jan Shatabdi Express,12301,2022,10,Falooda,Chennai,97,2750.85
Sampark Kranti,12001,2023,10,Chilled Water,Bhopal,81,8952.89
Duronto Express,12909,2023,12,Jhalmuri,Pune,24,3035.32
Humsafar Express,12051,2023,1,Lemonade,Amritsar,60,5510.13
Suvidha Express,12917,2022,4,Samosa,Ahmedabad,79,8133.94
Sampark Kranti,12201,2023,2,Chai,Pune,32,4036.78
Jan Shatabdi Express,12051,2021,9,Aam Panna,Kolkata,34,8142.56
Tejas Express,12917,2023,5,Shikanji,Mumbai,55,7132.22
Shatabdi Express,12051,2021,3,Coffee,Pune,32,9030.13
Rajdhani Express,12201,2022,4,Thukpa,Nagpur,19,3302.49
Garib Rath,22439,2022,6,Vada Pav,Guwahati,82,1177.06
Rajdhani Express,12001,2023,10,Soup,Shimla,86,4308.53
Jan Shatabdi Express,12051,2023,1,Falooda,Bangalore,41,7730.15
Vande Bharat Express,12909,2023,7,Falooda,Pune,60,4501.87
Vande Bharat Express,12301,2021,8,Coconut Water,Chandigarh,50,2687.92
Tejas Express,12595,2022,7,Coffee,Nagpur,74,431.78
Garib Rath,12909,2021,7,Shikanji,Amritsar,74,3179.18
Suvidha Express,12201,2021,9,Samosa,Chandigarh,49,7032.93
Tejas Express,12301,2023,4,Tea,Bangalore,27,1586.98
Rajdhani Express,12909,2023,7,Sugarcane Juice,Guwahati,45,3447.31
Tejas Express,82355,2021,9,Ice Cream,Bhopal,40,360.82
Rajdhani Express,12001,2021,5,Sugarcane Juice,Bhopal,63,7113.53
Sampark Kranti,12301,2023,2,Momo,Pune,72,8643.34
Vande Bharat Express,82355,2023,5,Hot Chocolate,Pune,10,5638.61
Sampark Kranti,12909,2021,4,Hot Chocolate,Bhubaneswar,61,415.12
Shatabdi Express,12917,2023,8,Chilled Water,Amritsar,66,2260.89
Garib Rath,22119,2023,5,Vada Pav,Chennai,18,4386.69
Suvidha Express,12917,2021,9,Falooda,Amritsar,95,5822.01
Rajdhani Express,12001,2021,9,Sugarcane Juice,Kolkata,99,4943.13
Suvidha Express,12301,2022,3,Momo,Ahmedabad,83,8982.01
Rajdhani Express,12301,2021,10,Coffee,Mumbai,65,9201.19
Jan Shatabdi Express,12001,2023,6,Tea,Ahmedabad,56,1197.51
Tejas Express,82355,2021,6,Kachori,Pune,12,1498.2
Shatabdi Express,22119,2021,4,Sugarcane Juice,Amritsar,11,3612.64
Vande Bharat Express,12909,2021,11,Jalebi,Chennai,63,4220.79
Rajdhani Express,12201,2022,10,Jhalmuri,Bhopal,46,5807.43
Suvidha Express,12917,2022,3,Chai,Bhubaneswar,65,7608.35
Shatabdi Express,12917,2023,1,Lemonade,Chandigarh,40,1472.95
Duronto Express,12595,2022,12,Aam Panna,Chennai,21,7892.11
Duronto Express,22119,2021,7,Momo,Kolkata,67,6038.08
Sampark Kranti,12201,2022,5,Lemonade,Shimla,76,9607.86
Vande Bharat Express,12917,2021,10,Bhajji,Bhubaneswar,35,6434.08
Jan Shatabdi Express,12201,2022,7,Hot Chocolate,Guwahati,87,7059.02
Suvidha Express,12909,2022,1,Soup,Kolkata,21,2045.12
Tejas Express,12301,2022,8,Vada Pav,Kochi,99,7566.98
Tejas Express,12201,2021,3,Ice Cream,Kolkata,25,929.08
Suvidha Express,12917,2022,7,Shikanji,Guwahati,62,6485.7
Garib Rath,82355,2021,12,Tea,Bhubaneswar,81,701.01
Jan Shatabdi Express,22119,2021,3,Ice Cream,Amritsar,58,1275.22
Shatabdi Express,12001,2023,3,Bhutta,Nagpur,58,1204.38
Rajdhani Express,12051,2022,10,Aam Panna,Bangalore,16,671.28
Garib Rath,22439,2023,9,Coconut Water,Bhubaneswar,24,3257.29
Rajdhani Express,22439,2023,2,Thukpa,Guwahati,45,9737.5
Rajdhani Express,12051,2021,4,Aam Panna,Kolkata,81,3518.02
Garib Rath,12201,2022,6,Jalebi,Pune,83,7489.14
Sampark Kranti,22119,2021,3,Ice Cream,Bhopal,24,1439.73
Duronto Express,12201,2021,12,Ice Cream,Chennai,71,4540.91
Rajdhani Express,12001,2022,10,Falooda,Raipur,27,1947.96
Garib Rath,22119,2021,10,Aam Panna,Chennai,55,2015.17
Garib Rath,12051,2022,7,Jhalmuri,Amritsar,70,1125.67
Humsafar Express,12201,2022,7,Juice,Chennai,52,4324.84
Sampark Kranti,12595,2021,5,Chilled Water,Bhopal,53,893.16
Vande Bharat Express,12917,2021,3,Aam Panna,Chandigarh,75,8923.72
Humsafar Express,82355,2023,2,Shikanji,Shimla,64,4477.47
Humsafar Express,12301,2021,4,Tea,Bangalore,95,8237.93
Suvidha Express,82355,2022,4,Tea,Guwahati,88,9594.19
Duronto Express,12001,2023,11,Pakora,Bhubaneswar,48,6690.23
Garib Rath,12201,2022,8,Coconut Water,Kolkata,14,8843.82
Duronto Express,12909,2023,8,Shikanji,Chandigarh,66,1469.1
Jan Shatabdi Express,22119,2021,5,Pakora,Kolkata,24,8155.42
Suvidha Express,12201,2021,6,Vada Pav,Raipur,100,2776.76
Vande Bharat Express,22119,2021,8,Momo,Chennai,25,4715.2
Duronto Express,12301,2022,1,Coffee,Kolkata,66,6389.94
Tejas Express,12595,2023,5,Coconut Water,Shimla,91,8863.39
Rajdhani Express,82355,2022,4,Momo,Bhopal,34,8935.11
Jan Shatabdi Express,12917,2023,4,Coconut Water,Nagpur,31,1052.64
Sampark Kranti,12301,2021,11,Aam Panna,Shimla,40,3675.21
Vande Bharat Express,12301,2022,2,Sugarcane Juice,Kolkata,43,7801.01
Jan Shatabdi Express,82355,2021,10,Coffee,Shimla,96,6934.51
Rajdhani Express,12301,2022,1,Kachori,Chandigarh,25,419.74
Suvidha Express,12909,2021,6,Bhajji,Guwahati,79,4496.62
Rajdhani Express,12909,2022,7,Bhajji,Bangalore,68,8148.29
Humsafar Express,22439,2022,5,Hot Chocolate,Pune,24,7266.87
Rajdhani Express,22439,2023,8,Jhalmuri,Chennai,91,4130.46
Humsafar Express,12909,2021,9,Chai,Kochi,22,7242.58
Suvidha Express,12051,2023,11,Shikanji,Guwahati,33,5471.91
Shatabdi Express,12595,2023,11,Jalebi,Nagpur,22,8950.85
